"Type","Code","Name","LEI code","Address"
"AIFM AUT","A00001880","GAM (LUXEMBOURG) S.A.","54930087FKU29VBNZH45","148-150, boulevard de la Pétrusse L-2330 Luxembourg"
"AIFM AUT","A00000783","FIL INVESTMENT MANAGEMENT (LUXEMBOURG) S.A R.L.","54930020FVXYT8E0QU87","2A, rue Albert Borschette L-1246 Luxembourg"
"AIFM AUT","A00004183","GENERALI FUND SOLUTIONS","391200PSHIPK5GH5JE41","4, rue Jean Monnet L-2180 Luxembourg"
"AIFM AUT","A00005032","HEROICS CAPITAL S.À R.L.","894500ERTQ9IWG7YIY87","34A, rue Philippe II L-2340 Luxembourg"
"AIFM AUT","A00004125","TRILL IMPACT LUXEMBOURG S.À R.L.","529900I759UBDCN70C57","16, avenue de la Gare L-1610 Luxembourg"
"AIFM AUT","A00000221","CARLISLE MANAGEMENT COMPANY S.A R.L.","213800BMFRCLOWO3JI85","9, rue Sainte Zithe L-2763 Luxembourg"
"AIFM AUT","A00004184","CAPITAL INTERNATIONAL MANAGEMENT COMPANY","","37A, avenue John F. Kennedy L-1855 Luxembourg"
"AIFM AUT","A00000460","IRIVEST INVESTMENT MANAGERS","5299005ANH5HXP3QKS68","10-12, boulevard Franklin D. Roosevelt L-2450 Luxembourg"
"AIFM AUT","A00005038","TRISTAN CAPITAL MANAGEMENT COMPANY S.À R.L.","6367009VYQDYVYJXLL76","2, rue Henri M. Schnadt L-2530 Luxembourg"
"AIFM AUT","A00002631","GCP EUROPE MANAGEMENT S.À R.L.","254900YAOXJ9Z1E0VJ84","14, avenue Pasteur L-2310 Luxembourg"
"AIFM AUT","A00002099","FINANCE IN MOTION ASSET MANAGEMENT S.À R.L.","529900KWCM9H73KG6N10","68-70, boulevard de la Pétrusse L-2320 Luxembourg"
"AIFM AUT","A00004171","HEADLINE MANAGEMENT LUX S.À R.L. ","529900ICIA431DGTPL94","19, rue Aldringen L-1118 Luxembourg"
"AIFM AUT","A00002440","NUVEEN ALTERNATIVES EUROPE S.À R.L.","984500E0BBC60YA8C970","2, rue Eugène Ruppert L-2453 Luxembourg"
"AIFM AUT","A00002885","CLEARLAKE CAPITAL (LUX) S.À R.L.","222100D93LT2T1YYEG39","51, avenue John F. Kennedy L-1855 Luxembourg"
"AIFM AUT","A00000639","FUNDROCK MANAGEMENT COMPANY S.A.","213800SJ3IH3EXMXSJ47","5, Heienhaff L-1736 Senningerberg"
"AIFM AUT","A00000495","GLOBAL FUNDS MANAGEMENT S.A.","KVZ7GP5U6BCKWPOYK035","33, rue de Gasperich L-5826 Hesperange"
"AIFM AUT","A00000004","HAUCK & AUFHÄUSER FUND SERVICES S.A.","529900C55XPLX8BWM794","1C, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM AUT","A00000039","AMUNDI LUXEMBOURG S.A.","213800VZW861M5FHMD50","5, allée Scheffer L-2520 Luxembourg"
"AIFM AUT","A00000085","UNIVERSAL-INVESTMENT-LUXEMBOURG S.A.","529900J76YSIZNVFEG95","15, rue de Flaxweiler L-6776 Grevenmacher"
"AIFM AUT","A00000093","GENESTA NORDIC CAPITAL FUND MANAGEMENT S.A R.L.","","50, Grand-rue L-1660 Luxembourg"
"AIFM AUT","A00000097","JTC GLOBAL AIFM SOLUTIONS S.A.","","17, boulevard F.W. Raiffeisen, 3ème étage L-2411 Luxembourg"
"AIFM AUT","A00000118","UBS ASSET MANAGEMENT (EUROPE) S.A.","549300AE48NQE4QVEH24","33A, avenue John F. Kennedy L-1855 Luxembourg"
"AIFM AUT","A00000141","GERIFONDS (LUXEMBOURG) S.A.","549300ZKKX0Q7RRJRI81","43, boulevard du Prince Henri L-1724 Luxembourg"
"AIFM AUT","A00000142","FUNDROCK LIS S.A.","549300SFZJMMBDUEUE73","5, Heienhaff L-1736 Senningerberg"
"AIFM AUT","A00000147","IPCONCEPT (LUXEMBURG) S.A.","529900X2YIFA3JTG4580","4, rue Thomas Edison L-1445 Strassen"
"AIFM AUT","A00000153","FUNDPARTNER SOLUTIONS (EUROPE) S.A.","2221002W65PS26SQKX63","15, avenue John F. Kennedy L-1855 Luxembourg"
"AIFM AUT","A00000154","FRANKLIN TEMPLETON INTERNATIONAL SERVICES S.À R.L.","549300PVL6CYCWSH9C53","8A, rue Albert Borschette L-1246 Luxembourg"
"AIFM AUT","A00000156","DEKA INTERNATIONAL S.A.","529900LOL386ST9OX981","6, rue Lou Hemmer L-1748 Senningerberg"
"AIFM AUT","A00000174","DWS INVESTMENT S.A.","549300L70BS183Y6ML67","2, boulevard Konrad Adenauer L-1115 Luxembourg"
"AIFM AUT","A00000175","TISHMAN SPEYER EUROPE S.A R.L.","549300LKUEBM30C3J391","34-38, avenue de la Liberté L-1930 Luxembourg"
"AIFM AUT","A00000176","NS PARTNERS EUROPE S.A.","529900WU7EJQ5EEU6Y53","11, boulevard de la Foire L-1528 Luxembourg"
"AIFM AUT","A00000178","MUFG LUX MANAGEMENT COMPANY S.A.","549300BD7P9CK4AC4887","287-289, route d'Arlon L-1150 Luxembourg"
"AIFM AUT","A00000193","A&G LUXEMBOURG AM S.A.","959800Z981PXJ4TSKL98","56, Grand-rue L-1660 Luxembourg"
"AIFM AUT","A00000198","PATRIZIA INVESTMENT MANAGEMENT S.À R.L.","529900KXC5DY7C9NCN22","41, avenue de la Liberté L-1931 Luxembourg"
"AIFM AUT","A00000258","ALTER DOMUS MANAGEMENT COMPANY S.A.","2138004CUQ1AJP1WOS28","15, boulevard F.W. Raiffeisen L-2411 Luxembourg"
"AIFM AUT","A00000261","ALLIANCEBERNSTEIN (LUXEMBOURG) S.A R.L.","5493007J5UQMUSZ1LQ34","2-4, rue Eugène Ruppert L-2453 Luxembourg"
"AIFM AUT","A00000288","MERCER ALTERNATIVES (LUXEMBOURG) S.A R.L.","529900SB15VB9O9DHO15","74, rue de Merl L-2146 Luxembourg"
"AIFM AUT","A00000170","WAYSTONE FUND MANAGEMENT (LUX) S.A.","549300608TM2TD83SD59","19, rue de Bitbourg L-1273 Luxembourg"
"AIFM AUT","A00000290","MULTICONCEPT FUND MANAGEMENT S.A.","529900YGI27KIZCZWQ50","5, rue Jean Monnet L-2180 Luxembourg"
"AIFM AUT","A00000308","SPARINVEST S.A.","549300S1TTZLHSPL3J21","28, boulevard Royal L-2449 Luxembourg"
"AIFM AUT","A00000321","CARNE GLOBAL FUND MANAGERS (LUXEMBOURG) S.A.","529900EDAVMMWRBDGI31","3, rue Jean Piret L-2350 Luxembourg"
"AIFM AUT","A00000355","FONDACO LUX S.A.","PNKYSB3Q2GIC3V6BOR23","146, boulevard de la Pétrusse L-2330 Luxembourg"
"AIFM AUT","A00000365","ASSENAGON ASSET MANAGEMENT S.A.","5299007I0KN0PEZUQZ46","1B, Heienhaff L-1736 Senningerberg"
"AIFM AUT","A00000367","FLOSSBACH VON STORCH INVEST S.A.","529900T8IKDN4RDCEY98","2, rue Jean Monnet L-2180 Luxembourg"
"AIFM AUT","A00000373","ECE REAL ESTATE PARTNERS S.A R.L.","984500D2HC0D4JF02B49","19, rue Edmond Reuter L-5326 Contern"
"AIFM AUT","A00000387","ANCILE (LUXEMBOURG) FUND SICAV-FIS","2221004D6X2UYW8SWX74","2, place de Paris L-2314 Luxembourg"
"AIFM AUT","A00000391","BG FUND MANAGEMENT LUXEMBOURG S.A.","549300UQ9FXR10DMTM81","2, rue Albert Borschette L-1246 Luxembourg"
"AIFM AUT","A00000395","WAYSTONE MANAGEMENT COMPANY (LUX) S.A.","529900S3BWN6CYL81492","19, rue de Bitbourg L-1273 Luxembourg"
"AIFM AUT","A00000398","T. ROWE PRICE (LUXEMBOURG) MANAGEMENT S.A R.L.","5493008IO5IY85UQG067","35, boulevard Prince Henri L-1724 Luxembourg"
"AIFM AUT","A00000379","INTEROGO FUND MANAGEMENT S.A.","549300YS869GO8JNRX85","2, rue Jean Bertholet L-1233 Luxembourg"
"AIFM AUT","A00000435","ERSEL GESTION INTERNATIONALE S.A.","2138009Z1Q45K8COET42","35, boulevard Joseph II L-1840 Luxembourg"
"AIFM AUT","A00000439","NORDEA INVESTMENT FUNDS S.A.","549300LCQUXMRSWPKT48","562, rue de Neudorf L-2220 Luxembourg"
"AIFM AUT","A00000443","AXXION S.A.","529900JZ07V7SDGUSX93","15, rue de Flaxweiler L-6776 Grevenmacher"
"AIFM AUT","A00000496","HINES LUXEMBOURG INVESTMENT MANAGEMENT S.A R.L.","254900SJ749EOTVBJ409","2, rue du Fort Bourbon L-1249 Luxembourg"
