"Type","Code","Name","LEI code","Address"
"AIFM REG","A00004176","MOONDUST VENTURES GP S.À R.L.","","122, route d'Arlon L-1150 Luxembourg"
"AIFM REG","A00001957","7 GLOBAL CAPITAL GP S.À R.L.","549300MJXPHR8VOP3B18","2, Place de Strasbourg L-2562 Luxembourg"
"AIFM REG","A00004195","NI CAPITAL GP","","7, rue Robert Stumper L-2557 Luxembourg"
"AIFM REG","A00002766","FCM FREDERIC CAPITAL MANAGEMENT GP S.À R. L.","529900UME8AQN69CGH66","60, Avenue John F. Kennedy L-1855 Luxembourg"
"AIFM REG","A00002855","7GC GP II S.À R.L.","","2, Place de Strasbourg L-2562 Luxembourg"
"AIFM REG","A00004196","ÜBERMORGEN VENTURES MANAGEMENT S.À R.L.","","8, rue Lou Hemmer L-1748 Senningerberg"
"AIFM REG","A00003119","7GC & CO. GP S.À R.L.","","2, Place de Strasbourg L-2562 Luxembourg"
"AIFM REG","A00003593","RAUSCH CAPITAL LUXEMBOURG S.À R.L","894500VEB6FPFGAPAI34","17A, rue des Bains L-1212 Luxembourg"
"AIFM REG","A00004181","FIRGUN VENTURES GP S.À R.L.","","16, rue Erasme L-1468 Luxembourg"
"AIFM REG","A00003934","GROWTH EQUITY PARTNERS II GP S.À R.L.","","12, rue des Mérovingiens L-8070 Bertrange"
"AIFM REG","A00004123","SIGMA MANAGEMENT LUX","","2-4, parc d'Activités Capellen L-8308 Capellen"
"AIFM REG","A00003438","2XN FUND I GP S.À R.L.","894500YK9BYTNC1F2I35","6, rue Dicks L-1417 Luxembourg"
"AIFM REG","A00003985","TOMEI CAPITAL SARL","9845009M8EEBB7474C86","7, rue Robert Stumper L-2557 Luxembourg"
"AIFM REG","A00004124","MORPHO INVESTMENTS GP","","2-4, parc d'Activités Capellen L-8308 Capellen"
"AIFM REG","A00004167","UPTF CAPITAL PARTNERS","","1A, Heienhaff L-1736 Senningerberg"
"AIFM REG","A00004127","SKAALA CO-INVEST GP S.À R.L.","213800UQW83XTUVBL641","17, boulevard F.W. Raiffeisen L-2411 Luxembourg"
"AIFM REG","A00004199","RUNTIME CAPITAL SARL","2549000GCBDMIF1UHL51","1, Boulevard de la Recherche L-4373 Belvaux"
"AIFM REG","A00004192","TIMELESS TREASURES GP S.À R.L.","","2, Place de Strasbourg L-2562 Luxembourg"
"AIFM REG","A00004182","MRC MAGNOLIA GP SARL","984500E6141E47BEXC90","15, boulevard F.W. Raiffeisen L-2411 Luxembourg"
"AIFM REG","A00005033","A15 CAPITAL GP","","2C, Parc d'Activités L-8308 Capellen"
"AIFM REG","A00004202","GGEF II GP S.À R.L.","","18, rue de l'Eau L-1449 Luxembourg"
"AIFM REG","A00004128","HELIOS CAPITAL SARL","9845003UCA487B60P913","7, rue Robert Stumper L-2557 Luxembourg"
"AIFM REG","A00004185","QUADRIGA CAPITAL VI GP S.À R.L.","","3, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM REG","A00004186","SANGHA CAPITAL S.À R.L.","","58, rue Charles Martel L-2134 Luxembourg"
"AIFM REG","A00004188","CCL INVESTMENTS III SARL","","3, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM REG","A00004189","VIOLA FINTECH I GENERAL PARTNER S.À R.L.","","13, rue Aldringen L-1118 Luxembourg"
"AIFM REG","A00004190","FLORENT VENTURE PARTNERS SARL","","12, rue des Mérovingiens L-8070 Bertrange"
"AIFM REG","A00005035","GDA VENTURE S.À R.L.","","12C, rue Guillaume J. Kroll L-1882 Luxembourg"
"AIFM REG","A00005060","NVB EUROPE","","25C, boulevard Royal L-2449 Luxembourg"
"AIFM REG","A00004207","KULA GENERAL PARTNER SARL","","33, rue de Gasperich L-5826 Hesperange"
"AIFM REG","A00004208","OTF LE MANS GP SARL","","2A, rue Nicolas Bové L-1253 Luxembourg"
"AIFM REG","A00004193","REAL ESTATE VENTURES LUX S.À R.L.","","12C, rue Guillaume J. Kroll L-1882 Luxembourg"
"AIFM REG","A00004194","BARYON FUND MANAGEMENT","","2-4, Parc d'Activités Capellen L-8308 Capellen"
"AIFM REG","A00004211","DEPO VENTURES SÀRL","","7, rue Robert Stumper L-2557 Luxembourg"
"AIFM REG","A00004212","MC CAPITAL GP S.À R.L.","","7, rue Robert Stumper L-2557 Luxembourg"
"AIFM REG","A00004197","DEDALO MANAGEMENT S.À.R.L.","8156008EB534BE1FAC13","12C, Rue Guillaume J. Kroll L-1882 Luxembourg"
"AIFM REG","A00004200","VESCALIS CAPITAL MANAGEMENT S.À R.L.","984500BA8EF1NEC7CF66","29, boulevard Grande-Duchesse Charlotte L-1331 Luxembourg"
"AIFM REG","A00001619","MTIP MANAGEMENT","","5, Avenue Gaston Diderich L-1420 Luxembourg"
"AIFM REG","A00004213","SITNO HOLDING REAL ESTATE S.À R.L.","","412F, route d'Esch L-1471 Luxembourg"
"AIFM REG","A00001914","QUARTZ MANAGEMENT GP SARL","","3, place de Clairefontaine L-1341 Luxembourg"
"AIFM REG","A00002478","JB NORDIC GENERAL PARTNER","","8, rue Lou Hemmer L-1748 Senningerberg"
