"Type","Code","Name","LEI code","Address"
"AIFM SUC","A00001060","ALLIANZ GLOBAL INVESTORS GMBH, ZWEIGNIEDERLASSUNG LUXEMBOURG","","6A, route de Trèves L-2633 Senningerberg"
"AIFM SUC","A00001510","COLONY CAPITAL SAS, Succursale Luxembourg","","10A, rue Henri M. Schnadt L-2530 Luxembourg"
"AIFM SUC","A00001764","AM ALPHA KAPITALVERWALTUNGSGESELLSCHAFT MBH, LUXEMBOURG BRANCH","","20, rue Philippe II L-2340 Luxembourg"
"AIFM SUC","A00002155","WAYSTONE MANAGEMENT COMPANY (IE) LIMITED - LUXEMBOURG BRANCH","","19, rue de Bitbourg L-1273 Luxembourg"
"AIFM SUC","A00002177","INOVALIS S.A., SUCCURSALE DE LUXEMBOURG","","31, rue Notre Dame L-2240 Luxembourg"
"AIFM SUC","A00002400","LIMESTONE PLATFORM AS, LUXEMBOURG BRANCH","","33, rue du Puits Romain L-8070 Bertrange"
"AIFM SUC","A00002535","ALLIANZ CAPITAL PARTNERS GMBH, ZWEIGNIEDERLASSUNG LUXEMBURG","","6A, route de Trèves L-2633 Senningerberg"
"AIFM SUC","A00002622","DANSKE INVEST MANAGEMENT A/S, LUXEMBOURG BRANCH","549300JPA2D6488EL055","13, rue Edward Steichen L-2540 Luxembourg"
"AIFM SUC","A00002643","TIKEHAU INVESTMENT MANAGEMENT, LUXEMBOURG BRANCH","","7, rue Pierre d'Aspelt L-1142 Luxembourg"
"AIFM SUC","A00002733","NIAM AB, LUXEMBOURG BRANCH","","14-16, avenue Pasteur L-2310 Luxembourg"
"AIFM SUC","A00003039","AQUILA CAPITAL INVESTMENTGESELLSCHAFT MBH, LUXEMBOURG BRANCH","5299005XCVL9WYHL7D12","5, Heienhaff L-1736 Senningerberg"
"AIFM SUC","A00003048","1741 FUND MANAGEMENT AG, LUXEMBOURG BRANCH","","2, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM SUC","A00003158","DEGROOF PETERCAM ASSET MANAGEMENT S.A., LUXEMBOURG BRANCH","","14, rue Eugène Ruppert L-2453 Luxembourg"
"AIFM SUC","A00003183","MIMCO ASSET MANAGEMENT, LUXEMBOURG BRANCH","","26, boulevard Royal L-2449 Luxembourg"
"AIFM SUC","A00003219","PORTOBELLO CAPITAL GESTION S.G.E.I.C. S.A., LUXEMBOURG BRANCH","","13, rue Aldringen L-1118 Luxembourg"
"AIFM SUC","A00003227","SEB FUNDS AB, LUXEMBOURG BRANCH","","4, rue Peternelchen L-2370 Howald"
"AIFM SUC","A00003241","MSIM FUND MANAGEMENT (IRELAND) LIMITED - LUXEMBOURG BRANCH","","6B, route de Trèves L-2633 Senningerberg"
"AIFM SUC","A00003242","LAZARD FRÈRES GESTION-LUXEMBOURG","","39, boulevard Royal L-2449 Luxembourg"
"AIFM SUC","A00003255","MNK PARTNERS FRANCE - SUCCURSALE DE LUXEMBOURG","","13, avenue de la Porte-Neuve L-2227 Luxembourg"
"AIFM SUC","A00003346","BNP PARIBAS ASSET MANAGEMENT EUROPE, LUXEMBOURG BRANCH","","2-4, rue Eugène Ruppert L-2453 Luxembourg"
"AIFM SUC","A00003506","FIRST SENTIER INVESTORS (IRELAND) LIMITED, LUXEMBOURG BRANCH","","53, boulevard Royal L-2449 Luxembourg"
"AIFM SUC","A00003521","MONEGA KAPITALANLAGEGESELLSCHAFT MBH, NIEDERLASSUNG LUXEMBURG","","60, rue de Luxembourg L-5408 Bous"
"AIFM SUC","A00003554","NATIXIS INVESTMENT MANAGERS INTERNATIONAL, LUXEMBOURG BRANCH","","2, rue Jean Monnet L-2180 Luxembourg"
"AIFM SUC","A00003589","ZBI FONDSMANAGEMENT GMBH, LUXEMBOURG BRANCH","","3, Heienhaff L-1736 Senningerberg"
"AIFM SUC","A00003846","EDMOND DE ROTHSCHILD ASSET MANAGEMENT (FRANCE) S.A. SUCCURSALE DE LUXEMBOURG","213800TQYOBFUNH3Z845","4, rue Robert Stümper L-2557 Luxembourg"
"AIFM SUC","A00003877","L CATTERTON EUROPE, LUXEMBOURG BRANCH","","40, avenue de Monterey L-2163 Luxembourg"
"AIFM SUC","A00003878","GLOBAL EVOLUTION ASSET MANAGEMENT A/S, LUXEMBOURG BRANCH","","4, rue Jean Monnet, 5th floor L-2180 Luxembourg"
"AIFM SUC","A00003973","MANOVA PARTNERS KAPITALVERWALTUNGSGESELLSCHAFT MBH, LUXEMBOURG BRANCH","","6, rue Daniel Grün, Zone d'activité Rosswenkel L-5315 Contern"
"AIFM SUC","A00003997","CYCAP CAPITAL MANAGEMENT GMBH, LUXEMBOURG BRANCH","","17, am Scheerleck L-6868 Wecker"
"AIFM SUC","A00004146","EURIZON CAPITAL SGR S.P.A., LUXEMBOURG BRANCH","","28, boulevard de Kockelscheuer L-1821 Luxembourg"
